Candidate_ID,Candidate_Age,Candidate_Gender,Candidate_Marital_Status,Candidate_Highest_Degree,Candidate_Field_of_Study,Candidate_Institution_of_Graduation,Candidate_Research_Areas,Candidate_Relevant_Projects,Candidate_Publications_Count,Candidate_Work_Experience,Candidate_Specific_Roles_Held,Candidate_Industry_Experience,Candidate_Technical_Skills,Candidate_Certifications,Candidate_Achievements_Awards,Candidate_Career_Goals,Candidate_Desired_Specialization
Candidate_1,40,Female,Single,MSc,Mechanical Engineering,MIT,Cybersecurity,Project C,23,4,Software Engineer,23,Python,Cisco Certified,Best Intern Award,Become a Senior Engineer,Quantum Computing
Candidate_2,38,Female,Single,MSc,Mechanical Engineering,Stanford,AI,Project C,17,26,Software Engineer,1,C++,Cisco Certified,Best Intern Award,Become a Senior Engineer,Machine Learning
Candidate_3,49,Non-binary,Single,PhD,Computer Science,Stanford,Cloud Computing,Project A,49,11,Data Scientist,21,Java,None,Best Intern Award,Pursue a PhD,Blockchain
Candidate_4,42,Non-binary,Married,BSc,Computer Science,MIT,Cloud Computing,Project B,35,2,Data Scientist,30,Python,AWS Certified,Best Intern Award,Lead a Research Team,Quantum Computing
Candidate_5,26,Non-binary,Single,PhD,Computer Science,Harvard,Cloud Computing,Project A,5,14,Software Engineer,11,Python,None,None,Become a Senior Engineer,Quantum Computing
Candidate_6,35,Non-binary,Married,BSc,Computer Science,Stanford,Cloud Computing,Project B,3,5,Research Assistant,4,Java,Cisco Certified,None,Lead a Research Team,Blockchain
Candidate_7,22,Female,Single,BSc,Electrical Engineering,Harvard,Cloud Computing,Project C,13,28,Data Scientist,5,Python,AWS Certified,None,Lead a Research Team,Quantum Computing
Candidate_8,45,Non-binary,Married,PhD,Mechanical Engineering,Harvard,Cloud Computing,Project B,44,20,Research Assistant,6,Java,None,None,Pursue a PhD,Blockchain
Candidate_9,22,Female,Single,PhD,Computer Science,MIT,Cloud Computing,Project A,28,22,Data Scientist,24,C++,None,Best Intern Award,Pursue a PhD,Machine Learning
Candidate_10,33,Male,Single,PhD,Mechanical Engineering,MIT,Cybersecurity,Project C,42,27,Data Scientist,16,Python,AWS Certified,Employee of the Month,Lead a Research Team,Quantum Computing
Candidate_11,35,Non-binary,Married,PhD,Mechanical Engineering,Stanford,Cloud Computing,Project A,22,27,Data Scientist,4,C++,AWS Certified,Employee of the Month,Become a Senior Engineer,Blockchain
Candidate_12,43,Female,Single,MSc,Computer Science,Harvard,AI,Project C,27,2,Research Assistant,10,C++,AWS Certified,None,Become a Senior Engineer,Quantum Computing
Candidate_13,38,Male,Single,PhD,Computer Science,Harvard,AI,Project C,28,4,Data Scientist,24,Python,AWS Certified,None,Lead a Research Team,Machine Learning
Candidate_14,25,Female,Married,PhD,Mechanical Engineering,MIT,Cloud Computing,Project B,40,16,Software Engineer,14,Python,Cisco Certified,Best Intern Award,Pursue a PhD,Blockchain
Candidate_15,30,Female,Married,MSc,Computer Science,Harvard,Cybersecurity,Project B,38,10,Software Engineer,17,Python,Cisco Certified,Best Intern Award,Lead a Research Team,Machine Learning
Candidate_16,27,Non-binary,Married,PhD,Electrical Engineering,Stanford,Cloud Computing,Project C,45,5,Data Scientist,15,Python,AWS Certified,None,Lead a Research Team,Machine Learning
Candidate_17,49,Female,Married,MSc,Electrical Engineering,Stanford,AI,Project B,3,2,Research Assistant,7,Java,AWS Certified,None,Lead a Research Team,Quantum Computing
Candidate_18,46,Non-binary,Married,MSc,Electrical Engineering,MIT,Cloud Computing,Project C,5,30,Data Scientist,11,Python,AWS Certified,None,Lead a Research Team,Blockchain
Candidate_19,37,Female,Married,PhD,Computer Science,Stanford,AI,Project B,23,6,Software Engineer,9,C++,Cisco Certified,Best Intern Award,Lead a Research Team,Quantum Computing
Candidate_20,44,Male,Single,BSc,Electrical Engineering,MIT,Cloud Computing,Project B,41,7,Software Engineer,4,Java,None,None,Lead a Research Team,Quantum Computing
Candidate_21,48,Non-binary,Single,MSc,Computer Science,Harvard,AI,Project C,30,11,Software Engineer,24,Python,Cisco Certified,Employee of the Month,Become a Senior Engineer,Quantum Computing
Candidate_22,46,Female,Married,PhD,Electrical Engineering,MIT,AI,Project A,22,19,Software Engineer,27,Python,Cisco Certified,None,Pursue a PhD,Machine Learning
Candidate_23,23,Female,Married,MSc,Mechanical Engineering,Stanford,AI,Project A,27,13,Software Engineer,18,Java,None,Employee of the Month,Pursue a PhD,Blockchain
Candidate_24,29,Male,Married,PhD,Mechanical Engineering,Stanford,Cybersecurity,Project A,26,28,Research Assistant,25,Java,None,Best Intern Award,Pursue a PhD,Blockchain
Candidate_25,47,Male,Married,BSc,Computer Science,Harvard,AI,Project B,7,13,Research Assistant,13,Java,AWS Certified,Best Intern Award,Pursue a PhD,Machine Learning
Candidate_26,38,Female,Married,BSc,Mechanical Engineering,Stanford,Cybersecurity,Project C,16,21,Research Assistant,8,Java,AWS Certified,None,Pursue a PhD,Blockchain
Candidate_27,26,Non-binary,Married,BSc,Mechanical Engineering,MIT,Cloud Computing,Project A,26,5,Data Scientist,1,Python,Cisco Certified,None,Pursue a PhD,Quantum Computing
Candidate_28,39,Female,Married,BSc,Electrical Engineering,Stanford,Cybersecurity,Project A,10,30,Software Engineer,11,Java,Cisco Certified,Employee of the Month,Pursue a PhD,Machine Learning
Candidate_29,31,Female,Married,PhD,Mechanical Engineering,MIT,Cybersecurity,Project C,32,21,Data Scientist,17,Java,AWS Certified,Best Intern Award,Lead a Research Team,Machine Learning
Candidate_30,45,Non-binary,Single,BSc,Electrical Engineering,Harvard,Cloud Computing,Project C,45,18,Research Assistant,6,Python,Cisco Certified,Best Intern Award,Pursue a PhD,Machine Learning
Candidate_31,38,Female,Single,MSc,Computer Science,MIT,AI,Project A,8,14,Research Assistant,5,C++,AWS Certified,Employee of the Month,Pursue a PhD,Blockchain
Candidate_32,48,Male,Single,MSc,Electrical Engineering,Harvard,AI,Project A,27,14,Research Assistant,19,Java,AWS Certified,Employee of the Month,Lead a Research Team,Quantum Computing
Candidate_33,28,Non-binary,Married,PhD,Electrical Engineering,MIT,Cloud Computing,Project C,33,8,Data Scientist,10,Python,None,Employee of the Month,Lead a Research Team,Machine Learning
Candidate_34,31,Non-binary,Married,BSc,Mechanical Engineering,Stanford,Cloud Computing,Project B,31,29,Software Engineer,22,C++,AWS Certified,None,Lead a Research Team,Blockchain
Candidate_35,50,Female,Married,BSc,Computer Science,MIT,Cloud Computing,Project A,48,30,Data Scientist,19,Java,None,Employee of the Month,Lead a Research Team,Machine Learning
Candidate_36,38,Female,Married,PhD,Electrical Engineering,Stanford,AI,Project B,49,18,Software Engineer,27,C++,None,Best Intern Award,Become a Senior Engineer,Blockchain
Candidate_37,32,Female,Married,MSc,Mechanical Engineering,Harvard,AI,Project C,13,10,Data Scientist,6,Java,None,Best Intern Award,Pursue a PhD,Machine Learning
Candidate_38,30,Male,Married,BSc,Mechanical Engineering,MIT,Cybersecurity,Project B,6,9,Software Engineer,8,Python,Cisco Certified,None,Become a Senior Engineer,Machine Learning
Candidate_39,37,Non-binary,Married,PhD,Electrical Engineering,Harvard,AI,Project A,11,8,Research Assistant,21,Python,Cisco Certified,Best Intern Award,Pursue a PhD,Machine Learning
